q0,beta,alpha,error
0.5,1.0,0.1,41.252960672654936
0.5,1.0,0.3,44.45780792691416
0.5,1.0,0.5,43.44682234828979
0.5,1.0,0.7,41.91454351903592
0.5,1.0,0.9,42.462156628236194
0.5,2.0,0.1,23.873125468195624
0.5,2.0,0.3,26.43921327488057
0.5,2.0,0.5,24.698754324680067
0.5,2.0,0.7,26.198479303379248
0.5,2.0,0.9,26.377632269475157
0.5,3.0,0.1,16.964271343319986
0.5,3.0,0.3,17.623693347106645
0.5,3.0,0.5,18.245041272434626
0.5,3.0,0.7,16.55266585567262
0.5,3.0,0.9,17.78483496692516
0.5,4.0,0.1,14.064450281820472
0.5,4.0,0.3,14.367677054681776
0.5,4.0,0.5,14.136751906504749
0.5,4.0,0.7,14.233330371048114
0.5,4.0,0.9,14.963278121158226
0.5,5.0,0.1,12.41903776781823
0.5,5.0,0.3,12.840371110871608
0.5,5.0,0.5,13.185963724087078
0.5,5.0,0.7,12.44404806318273
0.5,5.0,0.9,12.696095136463516
0.7,1.0,0.1,25.30141699903874
0.7,1.0,0.3,25.161840132389553
0.7,1.0,0.5,25.738717737041632
0.7,1.0,0.7,26.44690048439496
0.7,1.0,0.9,25.336946113676493
0.7,2.0,0.1,17.796426680307118
0.7,2.0,0.3,18.151937815140734
0.7,2.0,0.5,18.86096907716102
0.7,2.0,0.7,17.675698875601242
0.7,2.0,0.9,19.14942954726433
0.7,3.0,0.1,15.03158438321578
0.7,3.0,0.3,14.495810290247421
0.7,3.0,0.5,15.065251505910574
0.7,3.0,0.7,13.952506390591667
0.7,3.0,0.9,14.600403005720729
0.7,4.0,0.1,12.955796007867656
0.7,4.0,0.3,12.495712835282404
0.7,4.0,0.5,13.250301188559733
0.7,4.0,0.7,12.656067967007779
0.7,4.0,0.9,12.963022681225487
0.7,5.0,0.1,12.326394443511932
0.7,5.0,0.3,12.113836310020163
0.7,5.0,0.5,11.369770611978103
0.7,5.0,0.7,12.820230353773418
0.7,5.0,0.9,12.086908254475087
0.9,1.0,0.1,15.088470021771958
0.9,1.0,0.3,14.844180122828869
0.9,1.0,0.5,14.249016079147536
0.9,1.0,0.7,13.868252564311376
0.9,1.0,0.9,15.681680950400825
0.9,2.0,0.1,13.128642638247127
0.9,2.0,0.3,13.543538758869568
0.9,2.0,0.5,12.728206293678193
0.9,2.0,0.7,12.966167400665709
0.9,2.0,0.9,12.972889039735618
0.9,3.0,0.1,13.023146995009938
0.9,3.0,0.3,12.975616356130576
0.9,3.0,0.5,13.375220546761346
0.9,3.0,0.7,12.445415927640697
0.9,3.0,0.9,12.744106512146288
0.9,4.0,0.1,12.555067236725025
0.9,4.0,0.3,12.94525100891634
0.9,4.0,0.5,12.253007740126133
0.9,4.0,0.7,12.94511276509314
0.9,4.0,0.9,12.429749114371718
0.9,5.0,0.1,13.115500650088173
0.9,5.0,0.3,12.662654222599626
0.9,5.0,0.5,13.595463045490806
0.9,5.0,0.7,12.984299525560074
0.9,5.0,0.9,11.88028718102597
